,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
orderlines_df.9702,0.070963,0.091094,0.133696,0.159028,0.252104,0.269124,0.134016,0.146847,0.148205,0.265829,0.141734,0.265091,0.184189,0.111571,0.120328,0.199024,0.232402,0.123584,0.306398,0.210891,0.171626,0.098476,0.170577,0.094227,0.097324,0.249051,0.093366,0.086290,0.206679,0.183115,0.175168,0.098438,0.112715,0.085822,0.051238,0.063401,0.026574,0.044353,0.158211
orderlines_df.3,0.090292,0.109493,0.157071,0.159320,0.258032,0.260824,0.126724,0.150444,0.166133,0.258550,0.151089,0.269547,0.179687,0.122322,0.106989,0.203663,0.227419,0.139756,0.310880,0.239682,0.173481,0.104719,0.193545,0.132186,0.123353,0.251007,0.099174,0.101271,0.207539,0.194295,0.180582,0.111792,0.150516,0.096798,0.058216,0.063369,0.059443,0.057926,0.133492
orderlines_df.2009/03/04,0.048359,0.071199,0.113714,0.110250,0.239243,0.264134,0.086418,0.137122,0.108971,0.285610,0.093399,0.256551,0.151619,0.115506,0.118253,0.209564,0.199545,0.084342,0.287151,0.177630,0.127605,0.141611,0.121182,0.041787,0.050091,0.289656,0.064710,0.096029,0.177715,0.146883,0.184742,0.106724,0.107598,0.080819,0.023247,0.023290,-0.038924,0.056889,0.140516
orderlines_df.3001,0.098746,0.110084,0.148866,0.141435,0.275396,0.293196,0.118438,0.137889,0.163774,0.290493,0.151230,0.287538,0.147689,0.130943,0.130690,0.232366,0.223793,0.120980,0.295242,0.229634,0.167798,0.111999,0.182820,0.104527,0.095289,0.299923,0.096182,0.126116,0.193298,0.175863,0.207228,0.127496,0.141733,0.103702,0.070908,0.081686,0.043928,0.049049,0.157880
orderlines_df.9972,0.079068,0.102061,0.142092,0.170081,0.248938,0.261491,0.127040,0.146648,0.158221,0.280079,0.155141,0.261252,0.184923,0.118713,0.115947,0.198458,0.220358,0.126498,0.304411,0.211049,0.170426,0.097596,0.183226,0.104449,0.102750,0.250179,0.099654,0.097896,0.190468,0.174262,0.187818,0.097652,0.114871,0.089482,0.054264,0.067933,0.035620,0.041935,0.146283
orderlines_df.2009/04/30,0.048776,0.070984,0.114750,0.110037,0.244426,0.275299,0.091987,0.144144,0.110539,0.287746,0.095395,0.260685,0.148522,0.110492,0.118613,0.208857,0.204112,0.085327,0.289436,0.183203,0.133472,0.141004,0.124163,0.044417,0.053389,0.296731,0.063937,0.093811,0.180934,0.153474,0.180366,0.104137,0.112513,0.079178,0.024734,0.028172,-0.029605,0.061968,0.151523
orderlines_df.4001,0.103735,0.117316,0.145205,0.155858,0.247655,0.276446,0.121306,0.151394,0.181534,0.279928,0.172916,0.273144,0.180788,0.137447,0.119521,0.195009,0.232025,0.136978,0.320794,0.218322,0.175859,0.117429,0.192361,0.112802,0.106314,0.266023,0.101079,0.118923,0.215892,0.190367,0.201032,0.119865,0.137656,0.113188,0.077211,0.096804,0.060103,0.065581,0.179634
orderlines_df.306,0.055534,0.079745,0.113167,0.140955,0.241055,0.261705,0.131717,0.142485,0.137699,0.249583,0.134479,0.266217,0.187208,0.091853,0.115333,0.191799,0.214082,0.114309,0.294658,0.190819,0.157919,0.093805,0.158218,0.087759,0.098136,0.247969,0.097160,0.075398,0.191098,0.175035,0.159442,0.086444,0.102371,0.076272,0.038890,0.048645,0.015533,0.034095,0.151672
orderlines_df.2009/05/12,0.089014,0.096934,0.133280,0.133352,0.267459,0.295781,0.102566,0.158195,0.122519,0.301652,0.104547,0.282807,0.161307,0.122670,0.138473,0.244248,0.213763,0.103771,0.297200,0.209468,0.149427,0.146886,0.149379,0.067636,0.076417,0.323030,0.079037,0.099560,0.183915,0.167693,0.199697,0.115609,0.126265,0.096431,0.036540,0.049368,-0.021014,0.077321,0.159359
orderlines_df.5001,0.085171,0.103692,0.136933,0.148066,0.261045,0.281921,0.123415,0.141182,0.165941,0.279174,0.158849,0.287473,0.186974,0.111462,0.112899,0.203268,0.229481,0.122397,0.309618,0.211834,0.178300,0.110290,0.185200,0.106861,0.104062,0.264918,0.106697,0.093217,0.205425,0.191329,0.185943,0.104184,0.132342,0.078371,0.059826,0.067640,0.047579,0.045246,0.181156
orderlines_df.5549,0.065560,0.087438,0.120538,0.144631,0.237455,0.257532,0.134827,0.144938,0.148009,0.256406,0.146218,0.261729,0.191469,0.100361,0.117086,0.190551,0.213270,0.121202,0.298687,0.192761,0.160685,0.096835,0.164454,0.094545,0.097711,0.246207,0.099552,0.080159,0.191166,0.179517,0.167638,0.091348,0.102543,0.077558,0.045201,0.056982,0.021905,0.036134,0.157446
orderlines_df.2009/06/08,0.066475,0.085587,0.119559,0.114842,0.254562,0.280827,0.113266,0.154491,0.119741,0.303412,0.106130,0.271401,0.163254,0.125046,0.143299,0.221802,0.219356,0.097366,0.303302,0.193386,0.147185,0.154355,0.131981,0.048891,0.061998,0.305242,0.079482,0.102606,0.193409,0.168306,0.190023,0.105240,0.113937,0.083360,0.028061,0.037011,-0.023949,0.069263,0.154015
orderlines_df.6001,0.118599,0.126937,0.187806,0.204243,0.267079,0.269368,0.123753,0.146846,0.183758,0.301300,0.176068,0.276663,0.179317,0.130351,0.130808,0.225102,0.250414,0.125592,0.318527,0.267903,0.199483,0.149739,0.220858,0.135767,0.117823,0.273758,0.146416,0.129698,0.216386,0.201382,0.221628,0.140308,0.175578,0.131078,0.093055,0.096799,0.066505,0.082401,0.184336
orderlines_df.5853,0.063542,0.083377,0.117708,0.141270,0.234520,0.253214,0.134554,0.143057,0.143727,0.250011,0.141936,0.257581,0.189802,0.096751,0.116429,0.190084,0.212052,0.117859,0.296484,0.191089,0.157948,0.095014,0.160199,0.090620,0.098033,0.243712,0.097410,0.076299,0.190620,0.179726,0.164166,0.089754,0.099007,0.075529,0.042934,0.054862,0.022690,0.036346,0.157227
orderlines_df.2009/07/04,0.066693,0.093638,0.136932,0.136148,0.265645,0.292490,0.111582,0.154708,0.128069,0.291473,0.106999,0.277556,0.165601,0.123698,0.136734,0.213683,0.208617,0.103084,0.301302,0.210626,0.147446,0.152372,0.152350,0.066344,0.074618,0.292461,0.081864,0.108008,0.186970,0.164979,0.190307,0.114594,0.138526,0.089992,0.030081,0.044028,-0.023425,0.073932,0.145645
orderlines_df.7001,0.078365,0.096730,0.135221,0.133102,0.232039,0.252843,0.120537,0.130856,0.162080,0.270250,0.161258,0.260690,0.178388,0.108080,0.103007,0.180158,0.223385,0.116031,0.297241,0.190495,0.161266,0.091410,0.180693,0.099172,0.088372,0.242239,0.091530,0.094117,0.204456,0.182704,0.183163,0.098955,0.118535,0.068208,0.066751,0.060461,0.055911,0.039440,0.181652
orderlines_df.6079,0.073879,0.098243,0.139921,0.164100,0.241523,0.258988,0.126893,0.148875,0.154409,0.281705,0.146648,0.254985,0.182593,0.117281,0.114727,0.203839,0.222370,0.132459,0.308073,0.210003,0.168178,0.096204,0.175655,0.102540,0.102289,0.248735,0.097341,0.097322,0.194427,0.177090,0.178701,0.098179,0.112063,0.090308,0.060296,0.070499,0.032851,0.050446,0.152804
orderlines_df.2009/08/16,0.052040,0.077305,0.124661,0.121186,0.253642,0.282319,0.098832,0.144939,0.120121,0.299485,0.106955,0.268385,0.160444,0.113805,0.129367,0.215774,0.206017,0.095731,0.302888,0.191255,0.139295,0.148084,0.137283,0.054813,0.062984,0.291339,0.075399,0.094266,0.180627,0.157959,0.185664,0.099077,0.115301,0.078533,0.026705,0.029053,-0.030008,0.063446,0.147653
orderlines_df.8001,0.081804,0.094346,0.157288,0.165562,0.230667,0.252210,0.118297,0.131302,0.155577,0.268613,0.150827,0.257942,0.182365,0.102444,0.113296,0.200310,0.236463,0.107818,0.303908,0.240267,0.177420,0.111405,0.181195,0.101572,0.090252,0.265201,0.110855,0.095314,0.210537,0.196461,0.175842,0.114461,0.150809,0.084643,0.068117,0.073003,0.050076,0.069173,0.172979
orderlines_df.1376,0.061564,0.084472,0.121157,0.145019,0.236506,0.258331,0.137259,0.142639,0.145452,0.258571,0.145225,0.262026,0.192825,0.098042,0.120356,0.189404,0.214714,0.114605,0.299273,0.193516,0.159525,0.096523,0.164801,0.094399,0.096679,0.245999,0.098501,0.078370,0.190062,0.177652,0.170691,0.090906,0.103724,0.079280,0.047843,0.056034,0.020858,0.039794,0.159232
orderlines_df.2009/09/12,0.050875,0.074289,0.124842,0.122103,0.248148,0.276251,0.097794,0.146233,0.118404,0.298522,0.105246,0.263919,0.159044,0.113317,0.126879,0.214685,0.204232,0.095107,0.300670,0.190066,0.138348,0.148511,0.134252,0.053671,0.058615,0.291561,0.071623,0.096237,0.178526,0.157707,0.184940,0.097408,0.113796,0.078038,0.025929,0.026070,-0.033468,0.063261,0.142973
orderlines_df.9001,0.086375,0.096173,0.160277,0.168946,0.235788,0.255413,0.125092,0.133185,0.158676,0.269539,0.153493,0.264373,0.185543,0.104954,0.120065,0.201240,0.243621,0.110572,0.306237,0.245874,0.183323,0.116417,0.183458,0.107632,0.090400,0.269786,0.109847,0.097055,0.216823,0.200254,0.179166,0.117159,0.157596,0.088921,0.066996,0.073969,0.048701,0.073874,0.175082
orderlines_df.1697,0.059704,0.079586,0.119307,0.140616,0.235380,0.251135,0.134194,0.138594,0.141111,0.245797,0.137798,0.259573,0.189534,0.091418,0.114892,0.189008,0.207791,0.114812,0.292447,0.189892,0.155097,0.089799,0.155779,0.087434,0.094165,0.240194,0.096659,0.071673,0.185952,0.172291,0.161596,0.086785,0.101870,0.071455,0.039574,0.046510,0.019260,0.030940,0.154034
orderlines_df.2009/10/24,0.056581,0.080329,0.116026,0.118552,0.246032,0.276425,0.099053,0.144857,0.124468,0.277390,0.107671,0.257214,0.154609,0.112485,0.121488,0.210139,0.192681,0.096134,0.270193,0.179436,0.135236,0.140218,0.126456,0.046115,0.057133,0.290287,0.072091,0.098568,0.170892,0.153479,0.168401,0.100976,0.126691,0.064834,0.022107,0.041920,-0.031596,0.061386,0.166380
orderlines_df.10001,0.081632,0.102859,0.131388,0.138072,0.262020,0.283372,0.130564,0.132658,0.161342,0.273303,0.155742,0.287738,0.181408,0.107211,0.118953,0.196257,0.214775,0.117940,0.309705,0.216623,0.171587,0.109540,0.169037,0.107286,0.085214,0.258687,0.118051,0.101030,0.196890,0.188948,0.184189,0.105979,0.136522,0.082828,0.062889,0.076211,0.058729,0.071701,0.163983
orderlines_df.6941,0.060068,0.084758,0.122839,0.145169,0.240187,0.260459,0.139730,0.147132,0.143313,0.254441,0.141424,0.265002,0.192985,0.098408,0.121082,0.193093,0.217054,0.115802,0.301929,0.197838,0.163173,0.098977,0.164390,0.092161,0.099975,0.247268,0.098322,0.079816,0.195444,0.185012,0.165064,0.090710,0.105275,0.077337,0.045792,0.054510,0.017304,0.040449,0.160523
orderlines_df.2009/11/19,0.048981,0.075494,0.129172,0.121986,0.247475,0.274280,0.091580,0.138244,0.114522,0.299385,0.100294,0.264107,0.156869,0.109109,0.118473,0.209564,0.196873,0.093941,0.292842,0.183880,0.132173,0.140313,0.134290,0.052634,0.060451,0.279064,0.072611,0.091074,0.172641,0.148627,0.190065,0.094456,0.121251,0.070628,0.022223,0.021263,-0.030218,0.051030,0.136034
orderlines_df.11001,0.085485,0.104468,0.178001,0.177229,0.268345,0.286799,0.109695,0.145606,0.158655,0.281112,0.153219,0.276006,0.162704,0.121160,0.124917,0.221936,0.255836,0.121495,0.315378,0.260303,0.192223,0.135020,0.196604,0.113339,0.105972,0.284977,0.131754,0.128086,0.222090,0.194980,0.186862,0.120229,0.164209,0.102644,0.085271,0.092027,0.074771,0.080603,0.163720
orderlines_df.7259,0.055553,0.081666,0.120275,0.145091,0.237035,0.257226,0.137709,0.145427,0.141386,0.252026,0.140130,0.260819,0.191282,0.096354,0.120295,0.192614,0.214162,0.114780,0.298446,0.196134,0.160697,0.097431,0.161997,0.091337,0.100170,0.246070,0.098620,0.075131,0.190432,0.180362,0.166226,0.087516,0.101041,0.074457,0.044843,0.052094,0.017203,0.035936,0.158529
orderlines_df.2009/12/16,0.086869,0.092562,0.123376,0.127233,0.261127,0.284164,0.099812,0.149993,0.115287,0.303138,0.097483,0.273986,0.163507,0.119584,0.136775,0.240676,0.206657,0.096549,0.287324,0.199469,0.143716,0.142754,0.144424,0.061139,0.071989,0.317720,0.073380,0.090525,0.176365,0.159393,0.197782,0.109569,0.121872,0.079918,0.033004,0.045660,-0.027955,0.062641,0.162895
ORDERS.1,0.074553,0.129513,0.079605,0.107456,0.279989,0.334737,0.179139,0.179982,0.154103,0.293071,0.160211,0.304668,0.237541,0.154998,0.177127,0.200502,0.281963,0.158329,0.327506,0.166095,0.175193,0.136311,0.172621,0.115173,0.123756,0.285495,0.135727,0.145246,0.257182,0.198175,0.182050,0.078402,0.104597,0.119576,0.047353,0.066092,0.065899,0.085369,0.211664
ORDERS.2009/01/27,0.051229,0.085123,0.067576,0.091696,0.241713,0.292564,0.113925,0.166410,0.111748,0.292721,0.113222,0.260623,0.176902,0.134118,0.143370,0.181004,0.236818,0.102760,0.287264,0.136106,0.116690,0.164169,0.126564,0.043427,0.065557,0.298500,0.099887,0.120148,0.208615,0.139368,0.167986,0.085479,0.100335,0.094078,0.007367,0.016754,-0.024550,0.062902,0.183979
ORDERS.7888,0.061667,0.105367,0.074452,0.100026,0.257680,0.301868,0.162625,0.160156,0.145392,0.250006,0.157344,0.290722,0.232836,0.124127,0.149831,0.172136,0.256973,0.139437,0.303233,0.150179,0.154956,0.115963,0.162375,0.111410,0.120603,0.258235,0.123625,0.110885,0.238847,0.181252,0.166699,0.073291,0.097547,0.090574,0.034458,0.042923,0.051083,0.061075,0.193486
ORDERS.313.24,0.065882,0.121090,0.079805,0.112557,0.259039,0.288258,0.149336,0.181729,0.145997,0.260102,0.153835,0.278292,0.212726,0.137768,0.147422,0.194203,0.273248,0.148978,0.305964,0.163565,0.162813,0.132720,0.168113,0.113647,0.133407,0.274160,0.115333,0.124504,0.253616,0.189472,0.165558,0.067623,0.102254,0.101736,0.034152,0.049733,0.048241,0.057988,0.183724
ORDERS.25.84,0.059542,0.109624,0.072876,0.098282,0.246734,0.276938,0.148151,0.151491,0.140107,0.237375,0.150218,0.274043,0.218598,0.121780,0.136085,0.169400,0.254096,0.132221,0.293752,0.146956,0.147237,0.116755,0.161041,0.110324,0.123361,0.252814,0.111866,0.106478,0.237954,0.182069,0.159117,0.061727,0.092755,0.091462,0.026086,0.034499,0.039129,0.050943,0.182161
ORDERS.339.08,0.065334,0.111860,0.080553,0.106669,0.256301,0.287478,0.157152,0.155434,0.146062,0.242241,0.156546,0.284085,0.227244,0.120973,0.145391,0.179309,0.257721,0.134114,0.299021,0.157121,0.153660,0.120018,0.165587,0.112843,0.127643,0.257369,0.124290,0.114648,0.240316,0.182007,0.165975,0.068111,0.104811,0.097908,0.027915,0.036508,0.041595,0.047864,0.177995
ORDERS.1001,0.086184,0.120160,0.081921,0.095334,0.270643,0.315258,0.153478,0.149219,0.153822,0.265158,0.163984,0.304284,0.204026,0.129798,0.148847,0.183588,0.267516,0.122262,0.292123,0.158669,0.160238,0.124199,0.183204,0.106585,0.115747,0.267369,0.126588,0.116787,0.238495,0.176605,0.175404,0.084260,0.116542,0.103918,0.050341,0.050689,0.056572,0.058461,0.204235
ORDERS.2009/02/07,0.054474,0.091871,0.076189,0.098164,0.264649,0.311219,0.125122,0.169906,0.113525,0.293033,0.110366,0.282245,0.184544,0.134676,0.153241,0.189071,0.247118,0.108778,0.293088,0.146450,0.127154,0.168052,0.133601,0.049674,0.074440,0.297789,0.108160,0.123866,0.218312,0.149737,0.174181,0.087450,0.110216,0.102562,0.001261,0.009821,-0.019971,0.063392,0.184155
ORDERS.19356,0.070636,0.111259,0.081134,0.104639,0.262546,0.309842,0.155702,0.163648,0.146455,0.253199,0.157572,0.297498,0.228476,0.126196,0.143602,0.180779,0.258119,0.141949,0.302333,0.154295,0.154267,0.124948,0.165679,0.110350,0.124635,0.267667,0.125596,0.115152,0.238057,0.179922,0.165509,0.073578,0.103322,0.100120,0.031763,0.040725,0.049997,0.055416,0.198152
ORDERS.170.63,0.070194,0.115010,0.085465,0.108817,0.261383,0.287957,0.162312,0.158720,0.149764,0.239348,0.156494,0.286793,0.226781,0.125189,0.150897,0.183282,0.263050,0.139187,0.298713,0.163065,0.156781,0.122534,0.169189,0.115554,0.134022,0.257135,0.126551,0.114338,0.245051,0.187276,0.167507,0.071092,0.110620,0.100678,0.027142,0.037582,0.045806,0.048937,0.180330
ORDERS.14.08,0.062590,0.111683,0.071616,0.096978,0.260083,0.297039,0.160080,0.155252,0.140634,0.248208,0.150139,0.290128,0.228186,0.125256,0.150131,0.180072,0.258631,0.134120,0.300491,0.150046,0.152663,0.124850,0.168041,0.116083,0.128985,0.259987,0.117550,0.111714,0.240265,0.186102,0.168214,0.069744,0.092697,0.097988,0.028418,0.039862,0.039683,0.054378,0.183647
ORDERS.184.71,0.065426,0.121100,0.080888,0.113775,0.247788,0.282845,0.150636,0.174585,0.153852,0.267172,0.160424,0.270519,0.213629,0.139201,0.142408,0.179939,0.266116,0.151625,0.306652,0.157570,0.155335,0.125405,0.170316,0.108477,0.125722,0.259896,0.116711,0.131566,0.247820,0.182722,0.175338,0.071927,0.097186,0.104523,0.038884,0.052511,0.049584,0.055549,0.188336
ORDERS.2001,0.067760,0.112804,0.095421,0.099267,0.242639,0.295280,0.138504,0.153795,0.121295,0.271623,0.119454,0.262969,0.199132,0.143341,0.150958,0.197649,0.244130,0.116187,0.311344,0.161358,0.136791,0.141262,0.170683,0.090442,0.096353,0.288438,0.118661,0.120035,0.226170,0.158528,0.195853,0.095889,0.091976,0.115913,0.049422,0.047564,0.028003,0.074664,0.202141
ORDERS.2009/03/04,0.050028,0.084979,0.066052,0.095779,0.246884,0.295039,0.113856,0.159825,0.113428,0.289385,0.112342,0.263950,0.175208,0.132881,0.143505,0.179917,0.235318,0.099756,0.282052,0.132325,0.115570,0.157523,0.125048,0.043058,0.061078,0.294406,0.097584,0.123090,0.208362,0.137689,0.163471,0.087508,0.102024,0.093913,0.007424,0.015758,-0.027276,0.058846,0.185995
ORDERS.931,0.067968,0.111074,0.079067,0.101258,0.262754,0.307417,0.172581,0.161232,0.150415,0.257188,0.161136,0.295841,0.241329,0.130192,0.158448,0.177014,0.262690,0.140858,0.308991,0.152862,0.159842,0.118264,0.165756,0.112226,0.120871,0.261419,0.127447,0.117847,0.245589,0.187708,0.168189,0.076041,0.102805,0.095376,0.031217,0.045312,0.047896,0.064198,0.190475
ORDERS.31.84,0.080795,0.119336,0.080042,0.111532,0.271541,0.303875,0.197108,0.165191,0.155847,0.262891,0.162039,0.286192,0.239352,0.154768,0.188621,0.180297,0.259531,0.150359,0.305043,0.161449,0.155233,0.119165,0.164234,0.103300,0.122799,0.255525,0.135559,0.130432,0.239380,0.185341,0.170429,0.080951,0.102818,0.114146,0.035347,0.050330,0.041028,0.064142,0.188226
ORDERS.2.63,0.067625,0.115912,0.081790,0.103943,0.269629,0.300165,0.162543,0.158135,0.144999,0.248034,0.154404,0.296357,0.231234,0.127618,0.154831,0.191947,0.265768,0.139810,0.305865,0.163539,0.159474,0.127672,0.170053,0.120102,0.135788,0.266926,0.123518,0.111885,0.245403,0.196529,0.171467,0.073033,0.100870,0.102161,0.032660,0.043929,0.044389,0.059773,0.190241
ORDERS.34.47,0.060327,0.109348,0.073734,0.102398,0.233997,0.267864,0.139955,0.176868,0.146802,0.266529,0.156993,0.256583,0.208291,0.130190,0.132945,0.177731,0.258800,0.151518,0.305847,0.145995,0.150649,0.125521,0.160058,0.105012,0.118083,0.264971,0.111323,0.119353,0.241837,0.180864,0.168619,0.063339,0.085713,0.097016,0.035093,0.043927,0.051109,0.054207,0.196838
ORDERS.3001,0.098192,0.126210,0.090946,0.123334,0.285138,0.327911,0.155266,0.164750,0.160173,0.283161,0.163682,0.314468,0.206714,0.141136,0.154431,0.199291,0.284438,0.139126,0.307422,0.180691,0.178286,0.142477,0.191783,0.118122,0.128529,0.287943,0.125379,0.120591,0.251804,0.195354,0.184526,0.096523,0.130500,0.111968,0.054035,0.064450,0.066658,0.068113,0.221077
ORDERS.2009/04/30,0.056779,0.094964,0.080058,0.102014,0.265555,0.314255,0.122807,0.172802,0.111375,0.296510,0.108766,0.282035,0.180990,0.136751,0.153916,0.194437,0.251851,0.107783,0.297487,0.151935,0.132482,0.171409,0.138087,0.051853,0.077560,0.304301,0.107121,0.127874,0.223705,0.155635,0.173298,0.089138,0.115129,0.103589,0.005575,0.018155,-0.014846,0.066750,0.184368
ORDERS.12411,0.063715,0.110958,0.072346,0.096326,0.262598,0.306796,0.169469,0.162135,0.144366,0.249241,0.156516,0.295268,0.237173,0.128219,0.156215,0.174404,0.262309,0.139518,0.301887,0.150536,0.158392,0.117979,0.162142,0.108606,0.119550,0.261252,0.126651,0.113049,0.243883,0.183285,0.162978,0.070628,0.102402,0.092409,0.029997,0.043662,0.046824,0.062504,0.192695
ORDERS.289.62,0.078894,0.128301,0.097702,0.126337,0.297071,0.317034,0.178517,0.167891,0.153092,0.253747,0.159072,0.307828,0.231357,0.143845,0.175489,0.203156,0.278593,0.149582,0.306580,0.181916,0.170208,0.123761,0.180403,0.125632,0.145994,0.264059,0.133001,0.130725,0.253039,0.194906,0.172603,0.071370,0.124857,0.118068,0.036229,0.050374,0.051523,0.064271,0.179086
ORDERS.23.89,0.057550,0.112767,0.072316,0.098377,0.254821,0.290544,0.150477,0.162131,0.144480,0.246084,0.154977,0.282546,0.216405,0.126837,0.138856,0.177234,0.262620,0.140748,0.298439,0.148069,0.151149,0.117395,0.162946,0.113053,0.127956,0.259043,0.117022,0.115822,0.244612,0.182330,0.161790,0.066240,0.093258,0.097459,0.030143,0.039558,0.040738,0.055405,0.178907
ORDERS.313.51,0.069399,0.120736,0.082760,0.114687,0.274231,0.300625,0.169119,0.174243,0.149041,0.256871,0.156607,0.289682,0.224115,0.142715,0.165820,0.195444,0.272314,0.149085,0.303605,0.168144,0.159385,0.126136,0.167354,0.113576,0.136603,0.263938,0.130008,0.126700,0.249559,0.187938,0.169424,0.067795,0.107776,0.109315,0.033700,0.048914,0.048254,0.057101,0.183381
ORDERS.4001,0.079289,0.115098,0.087059,0.104786,0.288059,0.334713,0.147347,0.147469,0.158341,0.260211,0.164830,0.323681,0.193742,0.125011,0.147164,0.197774,0.273675,0.121163,0.289230,0.164465,0.160979,0.120225,0.184349,0.112374,0.116244,0.283818,0.134975,0.122510,0.244548,0.176369,0.171072,0.086926,0.131169,0.110470,0.052179,0.057671,0.062676,0.048258,0.203739
ORDERS.2009/05/12,0.052308,0.087692,0.067367,0.095374,0.249063,0.296076,0.117451,0.163600,0.113150,0.296326,0.111549,0.266004,0.175670,0.131688,0.147027,0.187410,0.238023,0.104758,0.282950,0.136619,0.117748,0.165841,0.127763,0.047233,0.066219,0.301236,0.099597,0.117818,0.206955,0.140505,0.166372,0.080363,0.103795,0.095398,0.009528,0.013467,-0.021689,0.058903,0.183381
ORDERS.14005,0.067978,0.117704,0.065114,0.100439,0.263138,0.304758,0.184044,0.169223,0.148042,0.270933,0.157606,0.286372,0.236420,0.145439,0.172949,0.177800,0.262806,0.151547,0.301580,0.147004,0.152267,0.119811,0.160556,0.108219,0.117671,0.259912,0.134446,0.118922,0.238505,0.177582,0.167868,0.061272,0.090962,0.103280,0.039885,0.052503,0.046132,0.065743,0.201400
ORDERS.350.60,0.055306,0.105687,0.073865,0.098784,0.253795,0.283652,0.160833,0.145852,0.143236,0.232527,0.152636,0.281009,0.223702,0.115088,0.144959,0.166296,0.247957,0.124603,0.290747,0.145234,0.146984,0.111534,0.156621,0.104559,0.116601,0.244167,0.124761,0.107609,0.234670,0.174658,0.153176,0.062220,0.101737,0.091010,0.020765,0.028168,0.040856,0.046159,0.177864
ORDERS.28.92,0.062822,0.121863,0.080705,0.110381,0.264702,0.299037,0.164039,0.167660,0.149465,0.257017,0.156478,0.281735,0.216010,0.140514,0.158730,0.182163,0.264990,0.147213,0.303688,0.163087,0.158075,0.125800,0.167006,0.111850,0.133595,0.258803,0.125990,0.130685,0.245609,0.184004,0.173034,0.073498,0.100701,0.110038,0.026784,0.049778,0.040250,0.061781,0.171643
ORDERS.379.52,0.067126,0.121539,0.089370,0.119172,0.283278,0.306449,0.168355,0.167913,0.150958,0.254637,0.160349,0.297549,0.223398,0.136763,0.165228,0.191679,0.267327,0.145537,0.301180,0.166061,0.156688,0.123241,0.169163,0.115091,0.138483,0.258394,0.136362,0.131147,0.243348,0.180198,0.171880,0.066268,0.110028,0.114971,0.033420,0.042604,0.049823,0.056968,0.181533
ORDERS.5001,0.092013,0.120443,0.086184,0.125321,0.277314,0.317719,0.147492,0.155494,0.157790,0.280789,0.160593,0.308702,0.208385,0.133144,0.144334,0.188532,0.275617,0.136182,0.298699,0.168861,0.172955,0.137267,0.188182,0.112387,0.121062,0.274515,0.129554,0.111639,0.244015,0.183287,0.174366,0.090589,0.124218,0.102190,0.048770,0.059233,0.067181,0.060102,0.217362
ORDERS.2009/06/08,0.053220,0.089666,0.076415,0.098880,0.268534,0.314154,0.121599,0.169068,0.110151,0.291990,0.107319,0.284143,0.179264,0.129293,0.150462,0.186122,0.244013,0.106671,0.291301,0.147363,0.124698,0.167127,0.135979,0.050693,0.076092,0.294755,0.110161,0.124681,0.214302,0.148033,0.171603,0.084591,0.113694,0.106072,0.003320,0.009512,-0.012829,0.061768,0.184701
ORDERS.15441,0.069163,0.109895,0.080021,0.106828,0.269761,0.310833,0.160394,0.160797,0.147888,0.251559,0.157656,0.301432,0.229502,0.127019,0.148810,0.180563,0.265394,0.138587,0.305880,0.159521,0.160114,0.126465,0.168485,0.115377,0.123979,0.266995,0.126805,0.111529,0.244775,0.183611,0.166032,0.070058,0.108291,0.097029,0.036750,0.044357,0.049563,0.063220,0.194503
ORDERS.8.36,0.075988,0.121789,0.089030,0.110313,0.282677,0.308898,0.171781,0.161701,0.150819,0.247973,0.158186,0.305989,0.237245,0.131944,0.164703,0.198098,0.270184,0.143989,0.307250,0.171035,0.164259,0.131889,0.171462,0.123698,0.141288,0.266293,0.136433,0.115811,0.248424,0.199291,0.174160,0.078419,0.118061,0.109085,0.030596,0.047448,0.048844,0.063343,0.193269
ORDERS.0.69,0.070577,0.120191,0.112370,0.154152,0.290649,0.316193,0.171708,0.158701,0.150509,0.254870,0.145998,0.296295,0.211549,0.141010,0.170003,0.198218,0.274670,0.145192,0.302728,0.205154,0.164629,0.127259,0.170334,0.110453,0.134485,0.260616,0.128914,0.122953,0.243077,0.194408,0.164617,0.095729,0.117309,0.121285,0.038454,0.061387,0.029148,0.078619,0.187508
ORDERS.9.05,0.070692,0.115033,0.085116,0.107706,0.267469,0.301140,0.166299,0.156874,0.149230,0.252646,0.159219,0.296358,0.233858,0.127472,0.152700,0.185565,0.259284,0.138687,0.306251,0.164890,0.157686,0.124032,0.170751,0.121317,0.132296,0.263743,0.127643,0.114963,0.237796,0.187671,0.176927,0.071142,0.110491,0.104182,0.030216,0.038904,0.046726,0.054384,0.185109
ORDERS.6001,0.079579,0.119870,0.091098,0.108668,0.304028,0.338043,0.152385,0.153877,0.157721,0.260366,0.164793,0.332701,0.194571,0.126799,0.152274,0.204666,0.277901,0.126772,0.290265,0.167037,0.164256,0.130600,0.186344,0.112766,0.124098,0.281586,0.138596,0.123461,0.246593,0.181171,0.168607,0.086396,0.130060,0.114298,0.052445,0.054339,0.060356,0.058516,0.206597
